"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"2067933","2020-Jan-16 01:30 PM","Nestle Purina Pet Care Co.","","","No","No","Bottles","","PURINA-24a","Nestle Purina Pet Care Co.","12364794 Friskies Beachside Canisters","","Finished Good","","100.00%","","","24A-FEBPO20","RUN TO THE NUMBER","Booked","4562280134","","","","MSI Portage","8.00","1064.00000","0.00","0.00","0.00000","","bottles","211140.00000","0.00000","211140.00000"
"2067931","2020-Jan-16 01:27 PM","Nestle Purina Pet Care Co.","","","No","No","Bottles","","PURINA-24a","Nestle Purina Pet Care Co.","12364794 Friskies Beachside Canisters","","Finished Good","","100.00%","","","24a-JANPO20","RUN TO THE NUMBER","Booked","4562180628","","","","MSI Portage","8.00","1064.00000","0.00","0.00","0.00000","","bottles","198720.00000","0.00000","198720.00000"
"2067926","2020-Jan-16 01:18 PM","Nestle Purina Pet Care Co.","","","No","Yes","Bottles","","PURINA-24a","Nestle Purina Pet Care Co.","12364794 Friskies Beachside Canisters","","Finished Good","","100.00%","","2020-Jan-17 06:30 AM","24a-DECPO19","RUN TO THE NUMBER","Booked","4562161525","","","","MSI Portage","8.00","1064.00000","0.00","0.00","0.00000","13623.00000","bottles","223560.00000","13623.00000","209937.00000"
"2067086","2020-Jan-15 04:34 PM","Mars / Wrigley","2020-Jan-17 11:00 PM","","No","No","Gum","","MARS-01","Mars / Wrigley","10194013 Eclipse Spearmint Eiffel 120pc - 24ct","","Finished Good","","100.00%","2020-Jan-17 11:00 PM","2020-Jan-16 03:00 PM","2067086","","Booked","","","","","MSI Portage","10.00","2880.00000","0.00","0.00","0.00000","0.00000","bottles","33600.00000","0.00000","33600.00000"
"2067078","2020-Jan-15 04:13 PM","BIB Products, LLC","","","No","No","","","BIBPRO-07-99","BIB Products, LLC","BIB Watermelon 2oz Energy Shot","","Finished Good","2020-Jan-16 11:00 PM","100.00%","","","07-99-011520","BOTTLES NEED SLEEVES
PALLET# 676896, 676897, 686877","Closed","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","0.00000","bottles","14544.00000","0.00000","14544.00000"
"2067069","2020-Jan-15 04:03 PM","Olly","2020-Jan-15 04:00 PM","","No","Yes","Vitamin","","OLLY-76-12PK","Olly","700170.01 Women's Berry Multi 130ct - Tallboy","","Finished Good","","100.00%","","2020-Jan-16 06:01 AM","2067069","","Booked","100942","","","","MSI Portage","8.00","433.00000","0.00","0.00","0.00000","13620.00000","bottles","27000.00000","13620.00000","13380.00000"
"2066357","2020-Jan-15 10:51 AM","Quaker","","","No","Yes","Solid Food","","QUAKER-03B","Quaker","031552 RM Summer Berry IQO","","Finished Good","","100.00%","","2020-Jan-15 06:32 AM","03B-JANPO20","RUN TO THE NUMBER","Booked","","","","","MSI Portage","7.00","2342.00000","0.00","0.00","0.00000","90981.00000","cups","480000.00000","90981.00000","389019.00000"
"2066069","2020-Jan-15 09:00 AM","Olly","2020-Jan-15 09:00 AM","","No","Yes","Vitamin","","OLLY-72-12PK","Olly","700173.01 Laser Focus 36ct - Medium","Medium","Finished Good","","100.00%","","2020-Jan-15 05:00 PM","2066069","","Booked","100942","","","","MSI Portage","8.00","994.00000","0.00","0.00","0.00000","26784.00000","bottles","35000.00000","26784.00000","8216.00000"
"2066019","2020-Jan-15 08:42 AM","Post Foods","","","No","No","Solid Food","","POST-06A","Post Foods","88037 HBO Almond Cereal Cup","","Finished Good","","100.00%","","2020-Jan-20 06:30 AM","06A-4TH-JANPO","RUN TO THE NUMBER","Booked","","","","","MSI Portage","6.00","2934.00000","0.00","0.00","0.00000","0.00000","cups","36000.00000","0.00000","36000.00000"
"2065993","2020-Jan-15 08:38 AM","Post Foods","","","No","Yes","Solid Food","","POST-07A","Post Foods","34334 HBO Honey Roasted Cereal Cup","","Finished Good","","100.00%","","2020-Jan-16 06:30 AM","07A-3rd-JANPO20","RUN THE CEREAL OUT","Booked","","","","","MSI Portage","6.00","2931.25000","0.00","0.00","0.00000","86894.00000","cups","54000.00000","86894.00000","-32894.00000"
"2065658","2020-Jan-14 03:47 PM","Quaker","","","No","Yes","Solid Food","","QUAKER-01-03C-V3","Quaker","Premix Batch for Real Medleys V3","","Batch","","100.00%","","2020-Jan-15 06:30 AM","01-03C-V3-JAN20","SHORT COMPONENTS TO COMPLETE ALL BATCHES- INBOUND
17 BATCHES","Booked","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","4334.00000","pounds","20094.00000","4334.00000","15760.00000"
"2065650","2020-Jan-14 03:44 PM","Quaker","","","No","Yes","Solid Food","","QUAKER-01-03B","Quaker","Fruit Batch for Real Medleys","","Batch","","100.00%","","2020-Jan-15 06:30 AM","01-03B-JAN20","SHORT ALL COMPONENTS TO COMPLETE ALL BATCHING- INBOUND
26 BATCHES","Booked","","","","","MSI Portage","7.00","2345.00000","0.00","0.00","0.00000","1417.93000","pounds","7358.00000","1417.93000","5940.07000"
"2065643","2020-Jan-14 03:39 PM","Quaker","","","No","Yes","Solid Food","","QUAKER-01-03A","Quaker","Grain Batch for Real Medleys","","Batch","","100.00%","","2020-Jan-15 06:30 AM","01-03A-JAN20","SHORT COMPONENTS TO COMPLETE ALL BATCHES- INBOUND
54 BATCHES","Booked","","","","","MSI Portage","7.00","2345.00000","0.00","0.00","0.00000","14000.00000","pounds","54000.00000","14000.00000","40000.00000"
"2063992","2020-Jan-14 09:01 AM","Mars / Wrigley","2020-Jan-16 03:00 PM","","No","Yes","Gum","","MARS-03","Mars / Wrigley","10194982 Orbit White Bubblemint Eiffel 120pc - 24ct","","Finished Good","","100.00%","2020-Jan-16 03:01 PM","2020-Jan-14 06:01 AM","2063992","","Booked","","","","","MSI Portage","10.00","2880.00000","0.00","0.00","0.00000","33600.00000","bottles","33600.00000","33600.00000","0.00000"
"2063903","2020-Jan-14 08:11 AM","Olly","2020-Jan-14 08:10 AM","","No","Yes","Vitamin","","OLLY-14-12PK","Olly","700073.01 Sleep Blackberry 50ct - Medium","Medium","Finished Good","","100.00%","","2020-Jan-14 03:59 PM","2063903","","Booked","100942","","","","MSI Portage","8.00","989.25000","0.00","0.00","0.00000","55823.00000","bottles","151000.00000","55823.00000","95177.00000"
"2063900","2020-Jan-14 08:09 AM","Olly","2020-Jan-14 08:05 AM","","No","Yes","Vitamin","","OLLY-40-12PK","Olly","700072.01 Glowing Skin Berry 50ct - Medium","Medium","Finished Good","","100.00%","","2020-Jan-14 10:59 PM","2063900","run out gummies","Booked","100942","","","","MSI Portage","8.00","957.25000","0.00","0.00","0.00000","40092.00000","bottles","40000.00000","40092.00000","-92.00000"
"2063641","2020-Jan-13 04:30 PM","Post Foods","","","No","Yes","Solid Food","","POST-04A","Post Foods","34329 Cocoa Pebbles Cereal Cup","","Finished Good","2020-Jan-16 12:00 PM","100.00%","","2020-Jan-15 06:32 AM","04a-2nd-JANPO20","RUN TO THE NUMBER","Closed","","","","","MSI Portage","6.00","2934.00000","0.00","0.00","0.00000","38390.00000","cups","36000.00000","38390.00000","-2390.00000"
"2063611","2020-Jan-13 04:05 PM","Post Foods","","","No","Yes","Solid Food","","POST-05A","Post Foods","34333 Fruity Pebbles Cereal Cup","","Finished Good","2020-Jan-15 04:16 PM","100.00%","","2020-Jan-13 03:00 PM","05a-1st-JANPO20","RUN TO THE NUMBER","Closed","","","","","MSI Portage","6.00","2934.00000","0.00","0.00","0.00000","84988.00000","cups","84000.00000","84988.00000","-988.00000"
"2063537","2020-Jan-13 03:15 PM","Nestle Purina Pet Care Co.","","","No","Yes","Bottles","","PURINA-10","Nestle Purina Pet Care Co.","12297340 Dentalife Cat Salmon 13.5oz","","Finished Good","2020-Jan-16 07:00 AM","100.00%","","","10-JANPO20","RUN TO THE NUMBER","Closed","4562051634","","","","MSI Portage","5.50","700.00000","0.00","0.00","0.00000","10470.00000","bottles","12420.00000","10470.00000","1950.00000"
"2063443","2020-Jan-13 01:52 PM","Mars / Wrigley","2020-Jan-14 11:00 PM","","No","Yes","Candy","","MARS-17B","Mars / Wrigley","10199875 Dove Truffles Milk Chocolate 4ct.","","Finished Good","","100.00%","2020-Jan-14 11:00 PM","2020-Jan-13 03:00 PM","Truffles MC 1st","","Booked","","","","","MSI Portage","10.50","2310.00000","0.00","0.00","0.00000","19248.00000","bags","7488.00000","19248.00000","-11760.00000"
"2063436","2020-Jan-13 01:46 PM","Mars / Wrigley","2020-Jan-15 11:00 PM","","No","Yes","Gum","","MARS-20-03","Mars / Wrigley","Refresher Mixed Mint Gum Mixing","","Bulk","","100.00%","2020-Jan-15 11:00 PM","2020-Jan-13 03:00 PM","2063436","","Booked","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","6000.00000","kilograms","7200.00000","6000.00000","1200.00000"
"2063168","2020-Jan-13 11:31 AM","Mars / Wrigley","","","No","Yes","Candy","","MARS-15B","Mars / Wrigley","10199876 Dove Truffles Chocolate & Peanut Butter 4ct.","","Finished Good","","100.00%","","","2063168","","Open","","","","","MSI Portage","7.50","2105.00000","0.00","0.00","0.00000","22860.00000","bags","53952.00000","22860.00000","31092.00000"
"2063125","2020-Jan-13 11:04 AM","The Clorox Company","2020-Apr-03 11:04 AM","","No","No","Solid Food","","CLOROX-06-03a","The Clorox Company","Bacon Crispins Batch (Palm Oil)","","Batch","","100.00%","","","2063125","","Booked","","","","","MSI Portage","1.00","487.20000","0.00","0.00","0.00000","","pounds","3990.00000","0.00000","3990.00000"
"2063124","2020-Jan-13 11:03 AM","The Clorox Company","2020-Apr-03 11:03 AM","","No","No","Solid Food","","CLOROX-06","The Clorox Company","#20065 Bacon Crispins","","Finished Good","","100.00%","","","2063124","","Booked","","","","","MSI Portage","8.00","2328.00000","0.00","0.00","0.00000","","canisters","19656.00000","0.00000","19656.00000"
"2063123","2020-Jan-13 11:02 AM","The Clorox Company","2020-Apr-03 11:02 AM","","No","No","Solid Food","","CLOROX-07-03a","The Clorox Company","Italian Crispins Batch (Palm Oil Croutons)","","Batch","","100.00%","","","2063123","","Booked","","","","","MSI Portage","1.00","459.30000","0.00","0.00","0.00000","","pounds","5911.00000","0.00000","5911.00000"
"2063117","2020-Jan-13 10:59 AM","The Clorox Company","2020-Apr-03 10:59 AM","","No","No","Solid Food","","CLOROX-07","The Clorox Company","#20066 Italian Crispins","","Finished Good","","100.00%","","","2063117","","Booked","","","","","MSI Portage","8.00","2328.00000","0.00","0.00","0.00000","","canisters","30888.00000","0.00000","30888.00000"
"2063038","2020-Jan-13 10:26 AM","Unilever","2020-Mar-13 10:26 AM","","No","No","Bottles","","UNILEV-01","Unilever","84170592 Hellmans Real Mayo Sqz 6/5.75 oz","","Finished Good","","100.00%","2020-Mar-13 10:27 AM","2020-Mar-09 10:27 AM","2063038","DO NOT RUN WITHOUT A PO","Booked","MAR FORECAST","DO NO RUN WITHOUT PO","","","MSI Portage","10.00","3750.00000","0.00","0.00","0.00000","0.00000","bottles","138000.00000","0.00000","138000.00000"
"2063023","2020-Jan-13 10:20 AM","Unilever","2020-Mar-06 10:22 AM","","No","No","Bottles","","UNILEV-01","Unilever","84170592 Hellmans Real Mayo Sqz 6/5.75 oz","","Finished Good","","100.00%","2020-Mar-03 10:22 AM","2020-Mar-02 10:22 AM","2063023","DO NOT RUN WITHOUT A PO","Booked","MAR FORECAST","DO NO RUN WITHOUT PO","","","MSI Portage","10.00","3750.00000","0.00","0.00","0.00000","0.00000","bottles","27600.00000","0.00000","27600.00000"
"2062959","2020-Jan-13 10:10 AM","Unilever","2020-Feb-08 10:09 AM","","No","No","Bottles","","UNILEV-05","Unilever","#67664156 Hellmans Olive Oil Mayo Sqz 6/5.75 oz","","Finished Good","","100.00%","2020-Feb-07 10:11 AM","2020-Feb-06 10:11 AM","2062959","DO NOT RUN WITHOUT PO","Booked","FEB FORECAST","DO NOT RUN WITHOUT PO","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","0.00000","bottles","55200.00000","0.00000","55200.00000"
"2062917","2020-Jan-13 10:04 AM","Unilever","2020-Feb-08 10:03 AM","","No","No","Bottles","","UNILEV-01","Unilever","84170592 Hellmans Real Mayo Sqz 6/5.75 oz","","Finished Good","","100.00%","2020-Feb-05 10:08 AM","2020-Feb-03 10:08 AM","2062917","DO NO RUN WITHOUT PO","Booked","FEB FORECAST","","","","MSI Portage","10.00","3750.00000","0.00","0.00","0.00000","0.00000","bottles","82800.00000","0.00000","82800.00000"
"2062854","2020-Jan-13 09:47 AM","Unilever","2020-Jan-20 09:47 AM","","No","No","Bottles","","UNILEV-02","Unilever","84170593 Best Foods Real Mayo Sqz 6/5.75 oz","","Finished Good","","100.00%","2020-Jan-24 09:47 AM","2020-Jan-23 09:47 AM","2062854","DO NOT RUN WITHOUT PO","Booked","4503577924","","","","MSI Portage","5.00","1875.00000","0.00","0.00","0.00000","0.00000","bottles","55200.00000","0.00000","55200.00000"
"2062853","2020-Jan-13 09:46 AM","The Clorox Company","2020-Feb-28 09:46 AM","","No","No","Solid Food","","CLOROX-06-03a","The Clorox Company","Bacon Crispins Batch (Palm Oil)","","Batch","","100.00%","2020-Feb-28 03:00 PM","2020-Feb-26 06:30 AM","2062853","","Booked","","","","","MSI Portage","1.00","487.20000","0.00","0.00","0.00000","","pounds","2850.00000","0.00000","2850.00000"
"2062851","2020-Jan-13 09:45 AM","The Clorox Company","2020-Feb-28 09:45 AM","","No","No","Solid Food","","CLOROX-06","The Clorox Company","#20065 Bacon Crispins","","Finished Good","","100.00%","2020-Feb-28 03:00 PM","2020-Feb-26 06:30 AM","2062851","","Booked","","","","","MSI Portage","8.00","2328.00000","0.00","0.00","0.00000","","canisters","14040.00000","0.00000","14040.00000"
"2062849","2020-Jan-13 09:44 AM","The Clorox Company","2020-Feb-28 09:44 AM","","No","No","Solid Food","","CLOROX-07-03a","The Clorox Company","Italian Crispins Batch (Palm Oil Croutons)","","Batch","","100.00%","2020-Feb-26 03:00 PM","2020-Feb-24 06:30 AM","2062849","","Booked","","","","","MSI Portage","1.00","459.30000","0.00","0.00","0.00000","","pounds","6449.00000","0.00000","6449.00000"
